cran_package,name_length,word_count,name_freq_score,num_conflicts,conflict_type,is_same_owner,title_similarity_score,official_url,scraped_at_utc,conflict_url,stars,language,topics,created_at,pushed_at,forks_count,open_issues_count,description
ggplot2,7,1,-20.72326583694641,200,official,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:37.158929+00:00,https://github.com/tidyverse/ggplot2,6761,R,"data-visualisation, r, visualisation",2008-05-25T01:21:32Z,2025-08-19T07:46:04Z,2093,108,An implementation of the Grammar of Graphics in R
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:38.926240+00:00,https://github.com/clayford/ggplot2,3,R,,2015-05-13T21:06:23Z,2021-12-08T14:30:39Z,4,0,"Files for UVA StatLab workshop, Fall 2016."
ggplot2,7,1,-20.72326583694641,200,clone_or_imitation,False,1.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:39.760344+00:00,https://github.com/cran/ggplot2,4,R,,2014-03-13T04:52:09Z,2025-04-09T10:43:36Z,3,0,":exclamation: This is a read-only mirror of the CRAN R package repository.  ggplot2 — Create Elegant Data Visualisations Using the Grammar of Graphics. Homepage: https://ggplot2.tidyverse.org, https://github.com/tidyverse/ggplot2  Report bugs for this package: https://github.com/tidyverse/ggplot2/issues"
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:40.577643+00:00,https://github.com/kirver/ggplot2,2,R,,2022-03-28T16:08:17Z,2022-04-26T18:23:25Z,3,0,Repo to accompany the ggplot2 workshop from Jasper Ridge data management & publishing series. 
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:43.042704+00:00,https://github.com/dami82/ggplot2,0,R,,2016-10-27T03:12:46Z,2016-10-28T22:44:26Z,2,0,A set of tutorials for creating plots and charts using R and ggplot2
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:44.695309+00:00,https://github.com/wisc-viz/ggplot2,2,R,,2013-09-21T14:59:32Z,2013-10-03T16:56:31Z,0,0,Code we're generating and using as we learn to use ggplot2.
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:49.687798+00:00,https://github.com/vikas306/GGPLOT2,0,R,,2017-09-16T14:03:13Z,2017-09-16T14:11:51Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:53.932505+00:00,https://github.com/programeralebrije/ggplot2,1,R,,2021-07-28T18:11:05Z,2021-08-05T04:08:06Z,0,1,the plotting package ggplot2.
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:54.764652+00:00,https://github.com/sdevine188/ggplot2,0,R,,2020-06-25T22:51:08Z,2022-04-13T21:53:19Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:55.571660+00:00,https://github.com/daniel-henning/ggplot2,0,R,,2021-03-15T08:58:51Z,2021-03-16T03:33:51Z,0,0,All kinds of graphs in publication
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:58.076742+00:00,https://github.com/Knigt9z/ggplot2,0,R,,2023-10-28T16:49:20Z,2023-10-29T07:50:03Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:23:58.907508+00:00,https://github.com/CheFuller/ggplot2,0,R,,2020-09-20T16:26:19Z,2020-09-20T17:52:35Z,0,0,This is a practice run to familiarize myself with ggplot2 member of tidyverse library
ggplot2,7,1,-20.72326583694641,200,clone_or_imitation,False,1.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:02.302015+00:00,https://github.com/dhrubkthakur/ggplot2,0,R,,2018-01-11T09:05:45Z,2018-01-11T09:16:27Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:06.556462+00:00,https://github.com/CARUSMHS/ggplot2,0,R,,2019-06-12T09:40:54Z,2019-10-09T12:26:53Z,0,0,Data visualisation - ggplot2
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:07.382357+00:00,https://github.com/HyeonjongPark/ggplot2,0,R,,2020-02-22T12:55:46Z,2020-02-22T13:47:16Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:08.219220+00:00,https://github.com/alotfata/ggplot2,0,R,,2022-07-31T22:09:22Z,2022-08-03T02:30:49Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:13.264863+00:00,https://github.com/carryon911/GGPLOT2,0,R,,2016-10-18T15:01:47Z,2016-10-18T15:10:06Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:15.892240+00:00,https://github.com/lnjwilliamson86/ggplot2,0,R,,2019-10-03T00:47:14Z,2019-10-03T06:41:06Z,0,0,Learning ggplot
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:20.173850+00:00,https://github.com/AraceliGuerrero/GGPLOT2,0,R,,2022-02-18T04:48:10Z,2022-02-18T16:44:52Z,0,0,Práctica de laboratorio 13. Primeros grafos en R.
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:22.662171+00:00,https://github.com/Tzhong16/ggplot2,0,R,,2016-12-02T09:03:54Z,2016-12-02T09:24:09Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:29.420981+00:00,https://github.com/Fanglu-Chen/ggplot2,0,R,,2024-08-15T06:49:31Z,2024-09-19T06:23:29Z,0,0,Some interesting visualization plot based on ggplot2
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:32.872506+00:00,https://github.com/SPereraNemer/ggplot2,0,R,,2018-10-30T16:59:42Z,2018-10-30T17:01:05Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:33.679719+00:00,https://github.com/maryam1710/ggplot2,0,R,,2019-11-30T16:02:18Z,2019-12-01T08:26:54Z,0,0,ggplot
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:35.354420+00:00,https://github.com/mcientifica/Ggplot2,0,R,,2024-08-16T20:52:08Z,2024-08-16T20:53:34Z,0,0,"Visualización de datos: R es famoso por sus capacidades de visualización a través de paquetes como ggplot2, que permiten crear gráficos complejos y personalizados con facilidad."
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:37.858882+00:00,https://github.com/rcprasanth/ggplot2,0,R,,2016-05-28T02:28:54Z,2016-05-28T02:33:07Z,0,0,Data visualization with ggplot2
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:38.690439+00:00,https://github.com/alexjwu/ggplot2,0,R,,2018-07-11T03:25:45Z,2018-07-11T03:27:11Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:39.512152+00:00,https://github.com/arielfuentes/ggplot2,0,R,,2017-12-26T18:01:27Z,2020-06-11T21:43:06Z,0,0,code for graphs
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:40.330895+00:00,https://github.com/prasertcbs/ggplot2,0,R,,2021-01-03T05:55:49Z,2021-01-03T06:00:35Z,0,0,สอน ggplot2
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:45.388210+00:00,https://github.com/cococou/ggplot2,0,R,,2017-05-11T06:46:03Z,2017-05-11T06:59:19Z,0,0,learning ggplot
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:46.300754+00:00,https://github.com/scds/ggplot2,0,R,,2022-05-03T16:50:29Z,2024-08-02T12:50:47Z,0,0,Learn how you can create publication-quality figures using ggplot2. We will cover plotting options for one- and two-dimensional continuous and categorical data and explore options for customizing your figure’s appearance.
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.6481481481481481,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:50.491084+00:00,https://github.com/yjalbert/ggplot2,0,R,,2016-01-29T07:58:53Z,2016-01-29T08:01:03Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:51.404124+00:00,https://github.com/Kiyoshi8/ggplot2,0,R,,2023-09-03T05:25:37Z,2023-09-03T09:27:32Z,0,0,
ggplot2,7,1,-20.72326583694641,200,accidental,False,0.0,https://github.com/tidyverse/ggplot2,2025-08-25T15:24:53.104992+00:00,https://github.com/ZAONGO-Inoussa/ggplot2,0,R,,2023-05-02T19:03:40Z,2023-05-02T19:25:47Z,0,0,data visualisation with ggplot2
